Fecha,Sistema operativo,Número de vistas de página
11 jul 2019,Windows Phone,1
11 jul 2019,Linux,3
12 jul 2019,Android,6
12 jul 2019,Windows,49
12 jul 2019,Linux,1
12 jul 2019,iOS,1
13 jul 2019,Macintosh,8
13 jul 2019,Android,59
13 jul 2019,Windows,8
14 jul 2019,iOS,3
14 jul 2019,Android,4
14 jul 2019,Windows,9
15 jul 2019,Android,16
15 jul 2019,Macintosh,1
15 jul 2019,Windows,39
16 jul 2019,Windows,21
16 jul 2019,Android,10
17 jul 2019,Windows,19
17 jul 2019,Android,6
18 jul 2019,Windows,37
18 jul 2019,Android,13
18 jul 2019,Linux,1
19 jul 2019,Android,66
19 jul 2019,Windows,30
20 jul 2019,Windows,26
20 jul 2019,Android,2
20 jul 2019,iOS,1
21 jul 2019,Windows,17
21 jul 2019,Android,10
21 jul 2019,iOS,6
22 jul 2019,Windows,112
22 jul 2019,iOS,2
22 jul 2019,Android,15
22 jul 2019,Macintosh,68
22 jul 2019,Linux,2
23 jul 2019,Windows,1
23 jul 2019,Android,1
24 jul 2019,Windows,38
24 jul 2019,Android,16
25 jul 2019,Android,6
25 jul 2019,iOS,1
25 jul 2019,Windows,39
25 jul 2019,Linux,4
26 jul 2019,Windows,65
26 jul 2019,Linux,2
26 jul 2019,Android,18
27 jul 2019,Windows,6
27 jul 2019,Android,14
28 jul 2019,Windows,13
28 jul 2019,Android,28
28 jul 2019,iOS,1
29 jul 2019,Windows,106
29 jul 2019,Android,25
30 jul 2019,Windows,86
30 jul 2019,Android,109
31 jul 2019,Windows,36
31 jul 2019,Android,46
31 jul 2019,Macintosh,2
31 jul 2019,Linux,1
1 ago 2019,Windows,145
1 ago 2019,Macintosh,3
1 ago 2019,Android,22
1 ago 2019,Chrome OS,4
2 ago 2019,Android,16
2 ago 2019,Linux,2
2 ago 2019,Windows,145
3 ago 2019,Windows,34
3 ago 2019,Android,43
4 ago 2019,Android,22
4 ago 2019,Windows,10
5 ago 2019,iOS,2
5 ago 2019,Windows,63
5 ago 2019,Android,22
5 ago 2019,Linux,1
6 ago 2019,Windows,113
6 ago 2019,Android,7
7 ago 2019,iOS,3
7 ago 2019,Android,43
7 ago 2019,Macintosh,1
7 ago 2019,Linux,7
7 ago 2019,Windows,22
8 ago 2019,Windows,236
8 ago 2019,Android,12
8 ago 2019,Linux,1
9 ago 2019,Android,22
9 ago 2019,Windows,85
10 ago 2019,Windows,37
10 ago 2019,Android,9
11 ago 2019,Windows,25
11 ago 2019,Android,11
12 ago 2019,Windows,77
12 ago 2019,Linux,1
12 ago 2019,Android,31
13 ago 2019,Linux,1
13 ago 2019,Android,30
13 ago 2019,Windows,161
13 ago 2019,iOS,1
14 ago 2019,Linux,3
14 ago 2019,iOS,5
14 ago 2019,Android,24
14 ago 2019,Windows,42
15 ago 2019,iOS,4
15 ago 2019,Android,33
15 ago 2019,Windows,48
16 ago 2019,Windows,85
16 ago 2019,iOS,6
16 ago 2019,Android,18
17 ago 2019,Windows,27
17 ago 2019,iOS,3
17 ago 2019,Android,4
18 ago 2019,Windows,20
18 ago 2019,Android,30
19 ago 2019,Windows,40
19 ago 2019,Android,14
20 ago 2019,Windows,82
20 ago 2019,Macintosh,1
20 ago 2019,Windows Phone,12
20 ago 2019,Android,49
21 ago 2019,Android,27
21 ago 2019,iOS,19
21 ago 2019,Windows,48
22 ago 2019,Chrome OS,2
22 ago 2019,Windows,169
22 ago 2019,iOS,39
22 ago 2019,Android,84
23 ago 2019,Android,141
23 ago 2019,Windows,133
23 ago 2019,Macintosh,16
23 ago 2019,iOS,4
24 ago 2019,Macintosh,2
24 ago 2019,Linux,1
24 ago 2019,iOS,28
24 ago 2019,Windows,35
24 ago 2019,Android,18
25 ago 2019,iOS,25
25 ago 2019,Windows,80
25 ago 2019,Android,44
25 ago 2019,Macintosh,11
26 ago 2019,iOS,30
26 ago 2019,Android,81
26 ago 2019,Windows,97
27 ago 2019,Android,79
27 ago 2019,Windows,110
27 ago 2019,iOS,100
28 ago 2019,Android,41
28 ago 2019,iOS,13
28 ago 2019,Windows,157
29 ago 2019,Android,140
29 ago 2019,Windows,139
29 ago 2019,iOS,6
30 ago 2019,iOS,2
30 ago 2019,Windows,72
30 ago 2019,Macintosh,2
30 ago 2019,Android,30
31 ago 2019,Android,40
31 ago 2019,Linux,5
31 ago 2019,Macintosh,1
31 ago 2019,iOS,1
31 ago 2019,Windows,27
1 sept 2019,Android,11
1 sept 2019,Windows,10
2 sept 2019,Windows,69
2 sept 2019,iOS,2
2 sept 2019,Linux,8
2 sept 2019,Android,13
3 sept 2019,Windows,29
3 sept 2019,Android,15
3 sept 2019,iOS,1
4 sept 2019,Macintosh,6
4 sept 2019,Android,114
4 sept 2019,Windows,101
4 sept 2019,Linux,1
4 sept 2019,iOS,11
5 sept 2019,iOS,12
5 sept 2019,Linux,18
5 sept 2019,Windows,176
5 sept 2019,Macintosh,5
