,Fecha,Número de vistas de página,Usuarios nuevos,Sesiones,mobile Número de vistas de página,mobile Usuarios nuevos,mobile Sesiones,desktop Número de vistas de página,desktop Usuarios nuevos,desktop Sesiones,tablet Número de vistas de página,tablet Usuarios nuevos,tablet Usuarios,tablet Número de sesiones por usuario,tablet Sesiones
1490,24 sept 2022,4,2,4,4,2,4,0,0,0,0.0,0.0,0.0,0.0,0.0
1491,25 sept 2022,17,4,7,12,1,4,5,3,3,0.0,0.0,0.0,0.0,0.0
1492,26 sept 2022,45,18,20,34,11,12,11,7,8,0.0,0.0,0.0,0.0,0.0
1493,27 sept 2022,15,13,15,2,2,2,13,11,13,0.0,0.0,0.0,0.0,0.0
1494,28 sept 2022,64,19,31,35,9,18,29,10,13,0.0,0.0,0.0,0.0,0.0
1495,29 sept 2022,54,20,28,32,8,13,22,12,15,0.0,0.0,0.0,0.0,0.0
1496,30 sept 2022,41,10,21,11,4,8,30,6,13,0.0,0.0,0.0,0.0,0.0
1497,1 oct 2022,5,3,5,4,2,4,1,1,1,0.0,0.0,0.0,0.0,0.0
1498,2 oct 2022,8,5,6,5,3,3,3,2,3,0.0,0.0,0.0,0.0,0.0
1499,3 oct 2022,31,9,13,26,6,9,5,3,4,0.0,0.0,0.0,0.0,0.0
1500,4 oct 2022,33,13,23,15,6,10,16,6,11,2.0,1.0,0.0,0.0,2.0
1501,5 oct 2022,61,19,32,53,14,25,8,5,7,0.0,0.0,0.0,0.0,0.0
1502,6 oct 2022,13,6,7,8,4,5,5,2,2,0.0,0.0,0.0,0.0,0.0
1503,7 oct 2022,9,6,9,5,3,5,4,3,4,0.0,0.0,0.0,0.0,0.0
1504,12 oct 2022,56,17,28,48,12,22,8,5,6,0.0,0.0,0.0,0.0,0.0
1505,13 oct 2022,34,13,22,22,7,13,12,6,9,0.0,0.0,0.0,0.0,0.0
1506,14 oct 2022,15,8,11,9,3,6,6,5,5,0.0,0.0,0.0,0.0,0.0
1507,15 oct 2022,16,10,11,14,8,9,2,2,2,0.0,0.0,0.0,0.0,0.0
1508,16 oct 2022,9,5,7,7,4,6,2,1,1,0.0,0.0,0.0,0.0,0.0
1509,17 oct 2022,9,8,9,4,4,4,5,4,5,0.0,0.0,0.0,0.0,0.0
1510,18 oct 2022,22,8,10,13,4,4,9,4,6,0.0,0.0,0.0,0.0,0.0
1511,19 oct 2022,54,22,32,43,11,21,11,11,11,0.0,0.0,0.0,0.0,0.0
1512,20 oct 2022,28,9,16,14,4,9,14,5,7,0.0,0.0,0.0,0.0,0.0
