Fecha,Agrupación de canales predeterminada,Número de vistas de página
3 jul 2019,Referral,1
3 jul 2019,Social,1
3 jul 2019,Direct,39
3 jul 2019,Organic Search,34
4 jul 2019,Organic Search,12
4 jul 2019,Direct,13
4 jul 2019,Social,25
5 jul 2019,Direct,13
5 jul 2019,Organic Search,18
5 jul 2019,Social,8
6 jul 2019,Social,1
6 jul 2019,Direct,6
6 jul 2019,Organic Search,14
7 jul 2019,Direct,7
7 jul 2019,Social,5
7 jul 2019,Organic Search,2
8 jul 2019,Organic Search,7
8 jul 2019,Direct,2
9 jul 2019,Direct,13
10 jul 2019,Social,7
10 jul 2019,Organic Search,11
10 jul 2019,Direct,8
11 jul 2019,Social,1
11 jul 2019,Organic Search,14
11 jul 2019,Direct,10
12 jul 2019,Organic Search,13
12 jul 2019,Social,1
12 jul 2019,Direct,7
13 jul 2019,Direct,15
13 jul 2019,Social,1
13 jul 2019,Organic Search,6
14 jul 2019,Social,5
14 jul 2019,Organic Search,12
15 jul 2019,Organic Search,5
15 jul 2019,Direct,5
16 jul 2019,Direct,4
16 jul 2019,Organic Search,14
17 jul 2019,Referral,1
17 jul 2019,Organic Search,21
17 jul 2019,Social,1
17 jul 2019,Direct,9
18 jul 2019,Organic Search,18
18 jul 2019,Direct,7
19 jul 2019,Organic Search,3
19 jul 2019,Social,2
19 jul 2019,Referral,2
19 jul 2019,Direct,7
20 jul 2019,Direct,1
21 jul 2019,Direct,2
22 jul 2019,Organic Search,18
22 jul 2019,Social,3
22 jul 2019,Referral,1
22 jul 2019,Direct,3
23 jul 2019,Direct,7
23 jul 2019,Organic Search,25
24 jul 2019,Direct,9
24 jul 2019,Social,2
24 jul 2019,Referral,1
24 jul 2019,Organic Search,20
25 jul 2019,Direct,16
25 jul 2019,Organic Search,21
25 jul 2019,Social,3
26 jul 2019,Organic Search,21
26 jul 2019,Direct,34
27 jul 2019,Direct,11
27 jul 2019,Organic Search,1
28 jul 2019,Direct,2
28 jul 2019,Organic Search,3
29 jul 2019,Social,3
29 jul 2019,Organic Search,4
29 jul 2019,Direct,11
30 jul 2019,Direct,22
30 jul 2019,Referral,3
30 jul 2019,Organic Search,22
31 jul 2019,Organic Search,14
