Fecha,Categoría de dispositivo,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones
14 jun 2019,desktop,34,14,0,0,20
14 jun 2019,mobile,16,5,0,0,8
15 jun 2019,desktop,17,8,0,0,13
15 jun 2019,mobile,35,9,0,0,20
16 jun 2019,mobile,10,4,0,0,7
17 jun 2019,desktop,60,11,0,0,13
17 jun 2019,mobile,34,4,0,0,13
18 jun 2019,mobile,50,6,0,0,15
18 jun 2019,desktop,51,14,0,0,22
19 jun 2019,desktop,24,11,0,0,19
19 jun 2019,mobile,19,8,0,0,13
20 jun 2019,mobile,9,1,0,0,3
20 jun 2019,desktop,3,3,0,0,3
21 jun 2019,desktop,44,16,0,0,26
21 jun 2019,mobile,49,10,0,0,18
22 jun 2019,tablet,7,1,0,0,2
22 jun 2019,mobile,15,7,0,0,10
